Description,Followers_count,Following_count,HCP_flag
Surgeon Physician Master Public Health Chiapas Michoacan and Mexico DF Early Will and Palliative Care Happy of football fan life,3390,3575,0
Don't stay still at the edge of the road. Don't smile without feeling like it.,969,1387,0
Media Manager at W2OGroup lover of olives and NYC proud Uconn Alumn 13,126,249,0
,159,790,0
KTLA News Photographer I m alive and I m free It feels good to be me,520,281,0
We are a virtual advertising agency,4,43,0
verily verily verily life is but a dream,207,595,0
1998 RMCF S05 MONAAAS ALWAYS,397,237,0
Your Hero Has A Cloak Of Mine A Microphone Your Hero Flies My Mine Rapea 7 6 14 I Met My Idol Maxi Cottet 3p MiReligion Dreams Are To Fulfill,322,388,0
,1928,1979,0
Business Delivery Manager SASInstitute Interested in CDISC standards Data Science data visualisation and sustainability Opinions are my own,53,122,0
graffiti robots virtual reality augmented reality swapping Google Glass for HoloLens but when,105,126,0
MD app device dev incr Mobility aging focus walker upgrade walkeredu HC Conf Curation Co mod HCLDR mHealth FOAM HITsm hcsm a11y aging univ d,10493,9364,1
"First, do no harm chuiya B B chuiya",117,323,0
,3,126,1
,37,79,0
Visit my blog to see daily new tv shows for free in HD Just one click on the link and you can watch it directly Enjoy watching and FOLLOW ME,5,128,0
Program Manager Leadership Talent HETI NSW facilitator coach love to be inspired to inspire Former PICU Nurse Practitioner Views my own,559,1266,1
Legal speaker broadcaster columnist and author Mad about Eurostar Paris wine and shopping,1962,790,0
,202,210,0
Lic Political Science and International RR Master in Management of Educatvos Centers Founder and Director Julio Verne Ushuaia School This is my recreation,432,730,0
Lymphoma expert Director of Wilmot Cancer Institute Rochester NY Tweets and opinions are my own,276,54,1
MSP for Greenock Inverclyde Serving communities of Greenock Gourock Port Glasgow Inverkip Wemyss Bay Convener of the Health Sport Committee ScotParl,2320,1035,0
,2048,297,0
Patient Navigation Advisor Sunnybrook Health Sciences Centre Additional focus on Science and Space,1315,292,0
,18,96,0
Director Montefiore Einstein Center for Cancer Care Professor and Vice Chairman Department of Surgery,158,81,1
My heart is Biomedical Research Scientist,79,76,1
I m with Torchcom but opinions here are my own,200,702,0
Communicator in Milan At L Aquila I dedicated the book Twenty Three Seconds of Life I like memories to build,322,360,0
A psychotherapist specializing in grief and bereavement Death though some have called thee mighty dreadful should not be a taboo subject,28,19,1
Rate me or title me as you want because I love Pareja Tekila Very much but I still respect Omarzetes victoriaruffo31 TQM,2117,2219,0
Nurse Healthcare Writer Contributor MedDeviceOnline nuviun,124,276,1
Acting is one of the passions I can t live without Follower of God,335,116,0
ಠ_ಠ single happy ಠ_ಠ a jr med physicist ಠ_ಠ love music perfs ಠ_ಠ im judging my life and others ಠ_ಠ forever judging these two boys of mine T V X Q ಠ_ಠ,147,194,0
I'm not to put up with your asshole ツ,399,399,0
,271,366,0
,110,221,0
Evil coffee lover Internet nerd Writer Infuriatingly humble bacon geek Beeraholic Incurable web fan,233,1940,0
Structural Engineer in techint_eng_con 26 years committed Triventoarg peugeotarg,1365,90,0
Board certified doctor clinical chemist researcher Self certified artist writer singer Indologist and future many many things,54,305,1
Aspiring world changer OhioState Student Fueled by chocolate coffee and positive energy Live your life with arms wide open,601,419,0
Dominic Marchant talks digital Dom is MD of award winning DJM Unlimited,411,153,1
"Master of Cancer Genetics and a faculty member at the College of Science at King Khalid University, Jeddah Abha USA in progress",103,85,0
Residence for the Elderly XXI Century Residence for the elderly Retirement and assisted residence Calle Ferial 35 949 22 17 00 https t co ae305xlc8m,274,517,0
,128,498,0
Dir of Communications Winship Cancer Institute former CNN journalist proud Bowdoin grad These opinions are my own,642,460,0
Editor Urologists in Cancer Care Contemporary Oncology Contemporary Radiation Oncology Tweets are my own,95,233,0
Cardiologist Medical University Hospital La Paz Madrid,25,57,1
Radiation Oncologist with clinical and research interests in treatment of genitourinary and gastrointestinal cancers,247,93,1
Oncology Palliative Medicine Symptom Intervention Clinical Trials tweets are my own,224,156,1
A Bostonian living in a strange land Health care policy researcher consultant Trying to find new things to fill my time now that I finally finished my PhD,61,313,1
An endocrine surgeon with interests in patient education treatment options and clinical research for the diseases of thyoid parathyroid and adrenal glands,4,39,1
,2377,2174,0
Director of Cancer Research at the Earle A Chiles Research Institute a leader in cancer immunotherapy and Medical Oncologist at Providence Cancer Center,236,120,1
16years 05 09 98 Until the end we are going real Fernando Torres snapchat miguel_diaz9,223,441,0
Medical Oncologist and Chief Clinical Information Officer at CCCNHS Clinical Lead for wuthnhs Acute Oncology Service ccio oncologist,407,279,1
Global macro pop culture music sports zingers Managing Partner Old Blackheath Companies RT not endorsement NOT Investment Advice http t co wqebrMjGkG,27155,1932,0
Respiratory Therapist breathing in all of the molecules of life events for no other reason than I am here,2820,2735,1
Wife Mother Singer Physician PallMed Likes chocolate Great Danes lake swimming fireplaces high heels Dislikes fennel ferrets right wingers,81,134,0
cancer doctor who wants to save the world,21,284,1
Physician Surgeon Oncologist Passionate about surgery and life http t co eAT0rEuuvR 52545990,186,377,1
Anesthesia resident Interests in trauma critical care POCUS QI Tweets personal opinions I claim no expertise of anything FRCPCAnes gasclass FOAMed,1284,831,0
Don't judge my decisions without knowing my reasons Revolutionary at heart using reason,1435,1637,0
Hematology Oncology Nurse prior Occupational Health Nursing Always Believe Conservative and Christian http t co tdAHeZA8nN,977,927,1
Feli Simone my cusquis My beautiful HOOK,308,205,0
NHS Oncologist treating Breast and Head Neck cancers NHA Party member Co Editor ABC of Cancer Care More questions than answers radonc,761,632,1
Everything we see around us was once part of a star so when we die we don't die at all we just come home,359,607,0
Music fan Food enthusiast Avid coffee lover,2,10,0
,79,120,0
"Interests Healthcare news dementia political networks social media EVV occupation PG residential group In addition, chronic melanoma patient",181,316,0
Tenderness and kindness are not signs of weakness and despair but manifestations of strength and resolution Kahlil Gibran,553,1985,0
Managing Editor of Future Science OA fsgfso the new openaccess journal from Future Science Group Views expressed are my own and not those of FSG,348,719,0
Thoracic surgeon treating lung and esophageal cancer Cancer researcher Patient advocate Speaking softly but carrying a big stick Tweets are mine,913,735,1
Oncologist specializing in Thoracic and Head Neck Oncology All thoughts and opinions are my own Carolinas LCI,40,27,1
My intellect is my life s blood but music fun are a close second Bone Thugs N Harmony forever DMV TEAMLTD Animal lover,1736,2003,0
Attorney at ReedSmithLLP specializing in the field of radiology and diagnostic imaging Active Dem Married to the awesome Catherine Read Go UGA,969,1902,1
Third year naturopathic medical student bastyr interested in naturopathic integrative oncology and cancer research,50,138,1
This is where I post interesting articles on science and whatever I find interesting,192,237,0
Using data to highlight great Non Profit communication From Measured Voice,389,1,0
Division Head of NovartisPharma Passion for helping patients and innovating healthcare Novartis,60,167,1
Avid reader Total twitter junkie Typical writer Alcohol scholar Amateur musicaholic Web nerd,5,305,0
Uruguayan Bostero Muslim right and human,93,144,0
River Plate Zona Ganjah Bob Marley Julian Serrano,83,226,0
Analyst Reporter Prevision Policy LLC DMV native Follow RT endorsement,31,329,0
Deputy MD Co Founder of ICG Insight Consulting Group Thoughts are my own,691,682,1
Internal Medicine Invasive Pulmonology DLco Test My home HUC UCV La Florida Clinical Institute SMICLaFlorida,1300,1152,1
Invent and develop ideas and technology Enjoy music MC rides runs and beer wine Fan of the outdoor shower Build clarity on life s biggest issues,518,1993,0
,277,361,0
Doctor for lymphoma patients researcher collaborator professor associate dean WeillCornell NYPhospital Tweets opinions mine RT not endorsement,730,365,1
Host the fragility by breathing existence,5,17,0
Huge Fan Team24 Jeff Gordon Jesus First Family and my precious babies cats Jeeper Duke Basketball Married 2 my best friend Alan who has my heart,2076,2239,0
VRIJHEID GEEF JE DOOR Anything You Tweet Post Share Can and Will Be Used Against You,212,259,0
Self professed do er with dodgy gene brca2 Supports ARCantenatal and CR_UK I did the VLM2014 angelmummy,447,838,0
Female Christian Native Texan Mediator SMU alumni animal advocate and rescuer as well as dog gone smart Love me love my dogs or bark on without me,1571,2001,0
Tattoo artist and Surfer Surviving as I can in a world that I don't understand and doesn't understand me Sometimes I would like to sleep forever,778,519,0
CEO GoBalto studystartup siteactivation healthcare startup Harvard MBA ClinicalStudyStartup,2092,369,1
,71,452,1
President Acerjet Trading Owner Stouffville Spirit Jr A Hockey Father Avid Sportsman Hockey fanatic,139,156,0
,254,235,1
Hematologist Oncologist Cancer Researcher Founder of mpnsm Leukemia MPN BPDCN Leusm mmsm ayacsm Tweets are my own thoughts opinions,908,108,1
Marketing Director Passionate about Marketing and Startups and using the former to grow the latter,1383,1089,0
Love is the only thing that counts in our passage on Earth everything else is just noise Woman mother painter I do not answer private messages,462,426,0
Program Director for Internal Medicine at Case Western Reserve tweeting about medical education and life at Case Western,471,171,0
,11,204,1
Fire Chief Tweets are my own,171,411,0
,733,1625,0
QA guy web developer breaking and or creating code President of VancouverMDchap Coffee lover,270,486,0
Psychologist without filter Animalist Cigarette-free Antiparty Party Let's do Community,613,1110,0
,29,30,0
Pharmaceutical UCV Music Books Running I love OREO cookies and the Northern Lights,465,1231,0
Naturopathic Physician Author Botanical Therapeutics Specialist Acupuncturist Nutrition Dietary Preparatory Specialist,1083,1996,1
2012 I opened the account 2013 I have cancer Awareness has saved my life as well as your precious life Look for the reliable source and I am not one of them,474,430,0
Thoracic surgeon Focus lung esophageal cancer minimally invasive surgery tobacco cessation Posts information not medical advice,14,59,1
I am a women who is deeply concerned about the world we live in I would like to see a more socially just world I have had training in medicine,200,1433,1
Citizen of the world born and resident in Spain in total rebellion against the corrupt and oppressive system that overwhelms us NO,10617,10622,0
Medical Oncologist Oncology Center of Galicia A Coruña,354,701,1
,528,139,1
Medical Oncologist at Niguarda Ca Granda Hospital in Milan,44,80,1
Doctor Of Pharmacy degree from USC expertise in Dyslipidemia Infectious Disease Kaiser Los Angeles Trading Biotech Stocks focusing on cancer dyslipidemia,388,107,1
volker dolch fellow hopkins gastroenterologist canadian loves hockey sports lego star wars IV VI education to stamp out hunger disease please,102,296,0
Media Relations Manager Bayer HealthCare France Personal twitter account my tweets only engage me,41,71,0
Ex doctor Speaker Mentor coach for medics Author of upcoming book on career decision making for doctors,1113,1535,1
It s only after you lose everything that you re free to do anything,114,376,0
i am a surgeon livin in istanbul,182,117,1
Physician interested in Diabetes Endocrinology Management and Clinical informatics,14,141,1
Trust me I m a doctor But not THAT type of doctor,846,1974,1
http t co URaQOtWAcG software engineer AdaptiveChannel chroniqueur hallufmr hacktiviste CryptoPartyTls geek mondain overclocked nзrd,2144,890,0
Assoc Dir Ops broadinstitute MIT Harvard patient advocate Angiosarcoma survivor VP http t co KfWUmOpp7J punster mom Thrower outer of dogma,717,599,1
would be globe wanderer radiation oncologist novice campaigner and mother,508,448,1
Sativex Bedrocan better prescribed Coffeeshops been Thin_Green_Line Between Life r Death 4 me not just very severe pain relief but good Drs make better,169,268,0
Medical Doctor Mesotherapy Nutrition Anti aging,223,200,1
Senior board certified medical oncologist France and Romania Saint Constantin Hospital Focus on personalised treatment clinical research networking,886,1885,1
Admirer of Bob Dylan and Joaquín Sabina the sonnets of Shakespeare Borges and Juana Inés de la Cruz Worshiper of basket tacos and roasted meat Sonora,1360,2002,0
Senior research nurse glasgowcrf working across neurology critical care emergency medicine and surgical research portfolios all tweets are my own views,283,787,1
Surgical oncologist liver cancers cancer researcher looking for better and less toxic ways to treat cancer soccer lover Go team USA enjoy love life,570,795,1
Backspace account new web page in process,164,151,0
University of Texas MD Anderson Cancer Center,33,86,1
,225,340,0
passionate fan of River Plate but also an observer and critic against corruption and bad government,57,185,0
Coffee fanatic Retired D1 softball player ESPN addict Seattle sports lover Puppy mamma Wife to one pretty kickass guy,162,918,0
I cover major medical meetings write national health stories for the Associated Press and bike to work whenever I can mmarchione ap org,5687,351,0
PhD Psychology Candidate 2015 Parkinson s Disease Psychosis Funglode Fellowship GlobalResearch A Posse ad Esse,2565,476,1
My passion is play drums but to pay life I have to work in marketing and business I love innovations technologies and entrepreneurship Institutano,178,370,0
Specialist Pharmacist in Hospital Pharmacy,131,150,1
Tweets by editor Maria McHale Slainte Health Fitness Wellbeing Also edit the all new irishswimmermag From imbpublishing,1755,1712,0
MD PhD GU pathologist Genomic Health trained at UCSF interests in prostate cancer genomics digital pathology digtial health Oncotype_PCa,186,241,1
1 A blog to help chemists find jobs in a tough market 2 Towards a quantitative understanding of the quality of the chemistry job market,6088,1626,0
We want La Gloria Del Fútbol to return with a well planned process by capable people and passionate about the Club,3602,1550,0
Andalusian Sevillian Yonki Gypsy Sevillista for the Madriles also infraser and Gypsyko all an honor thanks Aryans,219,350,0
Voilá At first sight a humble R4 of Pneumology with the vote to overcome the vile venom of ventilatory disorders and ensure the non-violation of life,129,214,0
Quite tall and fit thick man of his best age Communication Manager in Pfizer Norway,169,125,0
Biotechs Tech Photoshop Deals Random Thoughts Tinkering and coding for fun Tweets are not recommendations or endosements,478,142,1
Digital newspaper at the forefront of health information Also on Linkedin http t co lxA0PW57ht and Facebook http t co 7ZZYCJFuC6,30770,1664,0
Fitness Enthusiast Foodie HR Talent Acqusition Strategist,165,393,0
,802,232,1
Journalist physician medical educator semi retired oncologist and cancer researcher woman who s had breast cancer New Yorker swimmer patient advocate,9755,5084,1
Striving to be the best at what I do Pharmacist by training,51,154,1
Hemato oncologist married dad of 3 children Equality Tolerance and secularism run for the pleasure of living Marathoner,149,452,1
Interventional pain doctor helping Minnesotans manage back neck foot and other pain 855 452 7170,3221,2800,1
Gynecologic Oncologist Associate Director for Gynecologic Oncology Clinical Trials Cedars Sinai Medical Center opinions that are tweeted are mine not Cedars,678,848,1
I m in the fells every chance I get with my 2 border collies Sam n Teya Supporter of Fight Bladder Cancer MUFC F1 BTCC UB40,1160,1004,0
emergency manager firefighter hazmat specialist emergency communications animal rescue,84,379,0
Urologist and Professor of Urology,57,142,1
Practicing pharmacist working on 24 7 access to clinical pharmacists 365 days a year So far wife and three kids putting up with my workaholic disease,99,155,1
,1,23,0
Physician scientist developing new therapies for RareDiseases BioMarin DigitalHealth BigData Tweets are my own Every child deserves a chance,177,182,1
Journalist Health Editor Daily Mirror Reporting from ASCO15 andrew gregory mirror co uk,3001,575,1
Digital Health Consultant Believe in patient engagement See potential for telemedicine e health mobile health Love art and design Make up addict Aunt,490,1674,0
I am a medical oncologist at the Greenville Health System Cancer Institute and the medical director of the GHS Center for Integrative Oncology and Survivorship,544,313,1
Wife mother nurse photographer Redskin fan love to travel lover of nature lover of elephants,3399,3530,1
Editorial Director MedscapeDE Mentor XLHEALTH Speaker Physician Digital Health Enthusiast Healthcare Innovation Optimist,1571,1125,1
Keep calmn and lock your knee Internationalist Gender in Clinical Biochemistry Learning to swim YOGA coffee and dark chocolates Vegetarianism,659,1920,0
BioPharma editor at IBI Pharma esp The Pink Sheet,1111,184,0
Online platform for the medical specialist Now infectious diseases neurology diabetes More specialisms soon,53,137,1
91 Laboratory Technician Student of Pharmacy at UV Alboran Auryn,83,142,0
FastForward helps early ventures increase the probability of realizing their potential and bring innovation and life changing technologies to market,152,110,0
Professionally at SAP supporting social media relations program Personal interests are traveling dogs jeeps hiking and lots more,2494,860,0
Community relations for OHSUKnight Loves Science books wine tasting green tea nail polish and knitting Opinions are my own,1088,1848,0
Clean TeQ because water is life and waste is a thing of the past,233,634,0
Working to end cancer disparities by increasing clinicaltrial partic for women minorities promoting cancer prevention and knowledge Opinions mine,939,770,0
Rich get richer poor get poorer time for action global systemic change Muso activist fund raiser Son GP daughter Chef husband Prof Econ,807,805,0
Republican Nominee US Congress MD8 Libertarian leaning conservative father entrepreneur 1981 Free markets supply all societal needs Children need Moms Dads,1483,2003,0
,230,708,0
Internal addictology DESC DES health birth pub,919,992,0
Dermatologist Haarlem Hoofddorp and region All-round and certified miraDry practitioner Twitters in a personal capacity,448,825,1
,73,231,1
Donate oppressed weekends,48,47,0
Acting Chief Executive of UK s leading research and awareness charity Ovarian Cancer Action ovariancanceruk,83,76,1
global cancer control womens health equity shameless idealist http t co hEHRbJQQbS,1607,946,1
Journalist covering biopharma at EP Vantage,2596,490,0
Interested in lots of things politics equality poverty humanitarian work education for all Connoisseur of cheap red wine Opinions all my own,180,199,0
Literati writer reader and opinionator provocateur humanist coffee lover and amateur baker,599,585,0
going through life without a trace,1949,2053,0
,57,207,1
,349,1033,0
Catalan and Spanish Perica I like minorities,155,270,0
A diver If something is lost I find it if something hinders I move it if something sinks I refloat it,863,860,0
Oncology Dx professional focusing on industrial translational research to develop next gen diagnostics utilizing liquid biopsies to enable precision medicine,144,254,1
Oncologist Global business strategy and development Clinical and translational oncology Views are mine,86,235,1
Hi This is a newer account from the failed GiygasP Spread the word I am a brony Japan and science lover Please don t take that wrong I like Nintendo,700,2001,0
Dr Marcum has been in practice for over 20 years His team utilizes high technology and advanced dental techniques to bring the best in dental care,116,320,1
Mother doctor and radiologist looking for the square of the circle of conciliation in a world 2 0 http t co FL6159bj4e,959,1211,1
Thoracic Surgeon Specialize in robotic minimally invasive treatment of cancer Co Director of JCAHO Lung Cancer Center of Excellence in Norwalk Connecticut,436,357,1
For all the PUTAS I am a sadistic bitch coming out of the bowels of HELL that will make them wish they were not born.,98,85,0
I try to be consistent with what I think I like music political cinema and get lost in nature in short everything around me is no stranger to me,3090,3071,0
Business Development Director Springer Healthcare Italia S r l,76,165,0
My name is George and love music and choreographii I am also a musician and Pantomimik The greatest value is Life,1595,2002,0
I manage editorial content for Strategic Transactions DealsST Informa formerly Windhover Elsevier sister pubs IN VIVO The Pink Sheet tweets are my own,185,126,1
Hospital pharmacist I work for cancer In addition to the topic of work Bike touring Africa Twin Jazz Fusion HR HM Bass playing American football PC iPhone AM radio etc I m pharmacist in Japan,2242,1521,1
Give credit to the works and not to the words,1349,947,0
24 years old mechanical engineer JUC Alumni,215,876,0
Radiation Oncologist with special interest in head and neck and lung malignancies Tweets are my own,225,177,1
I will be in the taco shortly,181,244,0
hellomynameis doctor cochranite frustrated golfer wine fancier Christchurch NZ,272,469,1
16 The fury of our addiction has been blown away,328,330,0
Strategic Recruitment Business Partner and Talent Sourcing Cybersleuth,752,1908,0
President Founder Accountable Health LLC focused on population health Quantified Selfer Google Glass Explorer,1752,1722,0
lungne director of public policy for MA and I m sure there must be more all tweets are my own,153,385,0
Director of BD in biotech pharma with a clinical operations background made the switch to BD and loving it,66,160,1
Paediatric Oncology Doc Wellcome Trust CRF PhD student investigating novel therapies in paediatric HGG DIPG a devastating poor prognosis childhood brain cancer,242,842,1
Irreverent interventional oncologist father scientist RogueMDShow PIGILab PennIR immunotherapy cancer irad Stanford Penn alumn,707,2000,1
gastrointestinal oncologist Cleveland Clinic Foundation,5,7,1
Behind every successful woman is herself Insta ninaalvarez snapchat ninaalvarez81,430,420,0
A Big Fan Of LaithAbuJoda Doaa_ElSebaii My Official Account med_maram,80,227,0
President Social Market Mantra LLC President Ethnic Advertising Marketing Strategies LLC,192,82,0
Researcher grad student Focused on pulmonaryfibrosis Other account letterloveblog,75,142,1
Medical oncologist at Mayo Clinic Florida with clinical and research interest in immunotherapies for melanoma and kidney cancer,420,125,1
Civil Engineer I like to travel eat dark chocolate run and practice yoga,267,337,0
Spanish Andalusian and citizen of Catalonia Cordobesa I know what I want and therefore I fight I know what I don't want and I fight against it I am likewise,2665,1264,0
Show that you are not a loser Madridista,164,115,0
Founder Mastocytosis Society Canada http t co 08v8eU4KyK Just thinking out loud Personal Opinions Interests London ON CA,1391,1558,0
Senior Writer covering drug development for The Pink Sheet I am also a professional jazz blues and country vocalist Tweets are my own but reflect my job,221,180,0
My Inner geek loves technology business intelligence and innovations My views are my personal ones and not the views of my employer Also love rugby league,200,431,0
husband dad urologic oncologist health services researcher UNC_Lineberger beginner views mine,1480,1050,1
I am looking for the knowledge of myself and I find the essence of everyone else in the background we are very similar,481,1148,0
Fighting against that false Catalonia that wants to impose a minority indoctrinated in hate,2494,2633,0
I do not use twitter for anything professional only for pregnant women. You are here if you follow me,93,218,0
Never regret anything that made you smile,354,396,0
saw shawn in concert 8 6 15 supporting this kid for 1 year and 5 months now Goal shawns follow on twitter AMANDA FOLLOWS dailymendes,218,244,0
Retired medical professional photographer dressmaker grandmother Brit by birth American by design and citizenship,144,99,1
Family Physician Primary Care Advocate Commentary on Medicine Social Media Life Internet Talk Show Host Formerly DoctorAnonymous,20792,354,1
Flamenco Futbolero and Malaga to the death PutaSevilla PutaBiris Istagram aguilaar69 Snapchat aguilaaar69,1050,839,0
And to be frank no one thinks of you as I do even if you do the same,72,83,0
Interior Decorator Consultant Comm Consultant Activist Mtafutaji Humble Entrepreneur Empower Women Independent,1772,1997,0
hospital based internist and palliative medicine physician,129,296,1
St Anne is Jesus Grandma Mother of Mary Spouse of St Joachim Mother In Law of St Joseph Pledge of Alliegience is My Platform TotusTuus CatholicPOTUS,490,924,0
"For my part, those who want to leave Spain have an open day of departure",53,203,0
Author of Bubble Gum Badge an FDA His Story I dedicate this book to the front line FDA investigators Laboratory Staff admin and the Review Division,798,980,0
Eternal love for the club my loves CABJ Rock Futbol Lvp LaBeriso LasPelotas Ntvg LaBersuit,1738,1791,0
11 year old published author MMA clarinetist GirlScout blogger http t co h89g8GNHlw,15,1763,0
Participant in the Lord Loh Stalker Screenplay,289,360,0
Just Trying to Survive I Will Carry The Flame,417,462,0
Financial Services firm dedicated to expanding and transforming healthcare investing,768,672,0
Supposed to be figuring out the indicators of sustainability and reporting on them HealthDisparities Education HealthcareAdvocacy oh yes HumanRights,36,208,0
A Proud Indian Muslim who believes in Akhand BHARAT Jai Akhand BHARAT Hate Me Abuse Me but Inshallah can t Stop Me My Twits May be blunt bold crude,34,139,0
Quality Expert Quality Assurance Specialist Consultant Auditor Quality System Improvement Quality Control Pharmaceutical,253,641,0
Oncology nurse scientist Passionate myeloma nurse practitioner Assistant professor DNP program at DePaul University,147,518,1
rhythm guitar in junk lady lead guitar in vade azulón,359,770,0
VP for Programs at American Institute for Cancer Research Interested in cancer prevention public policy and all things related to healthy living,635,804,0
Mastologist Oncologist Member of Lions Club International Active Member of the Venezuelan Society of Mastology and the SV of Surgery,340,477,1
urological surgeon at guys hospital in london walks on ceramic,202,28,1
Consultant Plastic Reconstructive surgeon in London BAPRAS BAAPS Musician Father,674,613,1
I am a physiotherapist faculty member Queen s University Chair of the Cardiorespiratory Division of the CPA and AMS Phoenix Fellow,111,174,1
,1873,1602,0
I like the Fana photo of BOCA and Single without Trouble,82,158,0
Bioinformatics Scientist Precision Genomics at Intermountain Healthcare,35,34,1
Father Surgical Resident runner triathlete batescollege alum MedEd Health Policy Surg Outcomes Surg Onc SurgTweeting Married to DocSelbs,873,1377,1
Haematologist SingHealthSG Sathish Kumar with interest in multiple myeloma random funny stuff and occasional philosophical matters related to medicine,98,145,1
Broad interest Humor I only exchange my opinion for a much better Nursing mother and blogger with a long track record,2228,1851,0
Pop culture geek Passionate problem solver Total zombie guru Extreme travel fanatic,181,1261,0
Physician Mechanical Enginner Biotech Investor MBA Syracuse student The mind is everything What you think you become Buddha,31,73,1
love my girl my pup WNBA a great movie and a nice hike,17,69,0
Senior Lecturer Radiotherapy Oncology interested in NHS workforce development and advanced practice Aspirational dancer and baker All opinions are my own,321,572,1
NIHR Doctoral Fellow University of Bristol Public health and palliative care doctor a more useful combination of specialities than you d think,65,108,1
,15,106,0
Oncologist at Sanford Health Director of Cancer Survivorship North Dakota Today medical expert http t co Z4AarKZUwC editor Opinions tweeted are my own,1257,1513,1
Let s talk about Health systems Health Care Financial Management Leadership Affordable Care Act Public Health and Social Determinants of Health,86,140,1
Psychiatrist at UHN who has a law degree CMPA council member board member doctorsontario Bioethics lecturer at UToronto med school Tweets are my own,400,1694,1
RM Eclipse represents the hub for international PR within OPENHealth Sister agency of multi award winning UK specialist healthcare PR agency RM_healthcarePR,42,333,0
Rome wasnt built in a day,17,49,0
I am a hospital pharmacist in Kobe. I am active as an infection control specialist pharmacist. I am also involved in HIV and intensive care. I am interested in baseball and soccer bikes.,223,98,0
I do things you can t really know about,26,38,0
MD PhD Urology resident Georgetown Main research interests cancer genetics and epigenetics Love SL_Benfica swimming travel Português Benfiquista,89,168,1
,251,243,0
Husband father of 3 Cyclist Juicer Smoothie Maker Healthcare Comms Strategist Multichannel exponent succinctcomms OPENhealth,5527,3488,0
,176,459,0
40 Colombian and 60 Venezuelan Computing by obligation more not by desire and much less passion I call myself Alegnairam Why Because Yes,162,220,0
Bachelor of Law born on Freedom Day 1978 living as a warrior and with a blue heart,144,194,0
Grupo de RadioOncologos Mexicanos Dissemination and analysis of scientific information,42,177,1
Montreal-based company specializing in genetic sequencing and personalized clinical monitoring,140,323,0
Degree in Sociology from UB Postgraduate P Interpersonal Strategic Poet at times,1068,1042,0
Getting closer and closer to becoming a doctor by the Lord s will,116,188,1
Frikazo 2 0 of the new technologies rojillo progressive granadinista merengon and lover of the good life,1679,1998,0
Followers of the most interesting tuitaires and repeated tweets in my boring dead hours,494,1020,0
Biotechnology Immunotherapy Personalized Medicine Cures,66,129,1
assiduous reader fan of opera and contemporary music If nothing ever changes there be no butterflies,305,834,0
everything London london business marketing,1615,2007,0
Start up website trying to help people gain a better understanding of the end of life process through their own words,32,81,0
Writer editor among other life roles,989,1784,0
,60,61,0
,309,216,0
Specialist in Radiation Oncology Convinced of the importance of Radiotherapy in the treatment of cancer,291,362,1
journalist at the APM Medical Press Agency in charge of cancer diabetes transplantation ophthalmology and hospital pharmacists,990,246,0
The 4 in the back Madrid and Spanish thank God Top,595,806,0
personal account tweets on education child rights feminism development sustainable farming and my kids,1434,1995,0
